file, score, result, expected
/root/dataset/__ham__/4.eml,0,0,0
/root/dataset/__phishing__/6.eml,0,0,1
/root/dataset/__phishing__/0.eml,0,0,1
/root/dataset/__ham__/7.eml,0,0,0
/root/dataset/__ham__/8.eml,0,0,0
/root/dataset/__phishing__/5.eml,300,1,1
/root/dataset/__ham__/20.eml,0,0,0
/root/dataset/__ham__/1.eml,0,0,0
/root/dataset/__phishing__/11.eml,0,0,1
/root/dataset/__phishing__/10.eml,0,0,1
/root/dataset/__ham__/17.eml,0,0,0
/root/dataset/__ham__/6.eml,0,0,0
/root/dataset/__ham__/2.eml,0,0,0
/root/dataset/__ham__/15.eml,0,0,0
/root/dataset/__ham__/0.eml,0,0,0
/root/dataset/__ham__/3.eml,0,0,0
/root/dataset/__phishing__/4.eml,300,1,1
/root/dataset/__phishing__/7.eml,0,0,1
/root/dataset/__ham__/10.eml,0,0,0
/root/dataset/__ham__/9.eml,0,0,0
/root/dataset/__ham__/18.eml,0,0,0
/root/dataset/__ham__/13.eml,0,0,0
/root/dataset/__ham__/11.eml,0,0,0
/root/dataset/__ham__/16.eml,0,0,0
/root/dataset/__phishing__/3.eml,0,0,1
/root/dataset/__ham__/5.eml,0,0,0
/root/dataset/__ham__/19.eml,0,0,0
/root/dataset/__ham__/14.eml,0,0,0
/root/dataset/__ham__/12.eml,0,0,0
/root/dataset/__phishing__/18.eml,0,0,1
/root/dataset/__phishing__/1.eml,0,0,1
/root/dataset/__phishing__/8.eml,0,0,1
/root/dataset/__phishing__/12.eml,0,0,1
/root/dataset/__phishing__/17.eml,0,0,1
/root/dataset/__phishing__/9.eml,0,0,1
/root/dataset/__phishing__/2.eml,100,1,1
/root/dataset/__phishing__/14.eml,0,0,1
/root/dataset/__phishing__/15.eml,0,0,1
/root/dataset/__phishing__/19.eml,100,1,1
/root/dataset/__phishing__/13.eml,100,1,1
/root/dataset/__phishing__/16.eml,100,1,1
/root/dataset/__phishing__/20.eml,100,1,1
